name,url,letter,rating,num_reviews
black hellebore,https://www.webmd.com/vitamins/ai/ingredientmono-99/black-hellebore,b,3.3,26
black hoof mushroom,https://www.webmd.com/vitamins/ai/ingredientmono-1510/black-hoof-mushroom,b,4.3,4
black horehound,https://www.webmd.com/vitamins/ai/ingredientmono-930/black-horehound,b,,
black mulberry,https://www.webmd.com/vitamins/ai/ingredientmono-357/black-mulberry,b,,
black mustard,https://www.webmd.com/vitamins/ai/ingredientmono-590/black-mustard,b,,
black nightshade,https://www.webmd.com/vitamins/ai/ingredientmono-821/black-nightshade,b,,
black pepper and white pepper,https://www.webmd.com/vitamins/ai/ingredientmono-800/black-pepper-and-white-pepper,b,4.0,4
black psyllium,https://www.webmd.com/vitamins/ai/ingredientmono-97/black-psyllium,b,3.3,1
black raspberry,https://www.webmd.com/vitamins/ai/ingredientmono-1120/black-raspberry,b,3.3,17
black rice,https://www.webmd.com/vitamins/ai/ingredientmono-1616/black-rice,b,,
black root,https://www.webmd.com/vitamins/ai/ingredientmono-796/black-root,b,,
black seed,https://www.webmd.com/vitamins/ai/ingredientmono-901/black-seed,b,4.0,84
black tea,https://www.webmd.com/vitamins/ai/ingredientmono-997/black-tea,b,4.4,8
black walnut,https://www.webmd.com/vitamins/ai/ingredientmono-639/black-walnut,b,4.9,11
blackberry,https://www.webmd.com/vitamins/ai/ingredientmono-1076/blackberry,b,2.0,1
blackthorn,https://www.webmd.com/vitamins/ai/ingredientmono-356/blackthorn,b,5.0,1
bladderwrack,https://www.webmd.com/vitamins/ai/ingredientmono-726/bladderwrack,b,4.0,12
blessed thistle,https://www.webmd.com/vitamins/ai/ingredientmono-94/blessed-thistle,b,3.8,7
blond psyllium,https://www.webmd.com/vitamins/ai/ingredientmono-866/blond-psyllium,b,3.6,7
bloodroot,https://www.webmd.com/vitamins/ai/ingredientmono-893/bloodroot,b,4.8,3
blue cohosh,https://www.webmd.com/vitamins/ai/ingredientmono-987/blue-cohosh,b,5.0,7
blue flag,https://www.webmd.com/vitamins/ai/ingredientmono-318/blue-flag,b,5.0,1
blue-green algae,https://www.webmd.com/vitamins/ai/ingredientmono-923/blue-green-algae,b,3.6,17
blueberry,https://www.webmd.com/vitamins/ai/ingredientmono-1013/blueberry,b,3.8,4
bog bilberry,https://www.webmd.com/vitamins/ai/ingredientmono-693/bog-bilberry,b,3.0,1
bog labrador tea,https://www.webmd.com/vitamins/ai/ingredientmono-539/bog-labrador-tea,b,,
bogbean,https://www.webmd.com/vitamins/ai/ingredientmono-74/bogbean,b,3.3,16
bois de rose oil,https://www.webmd.com/vitamins/ai/ingredientmono-263/bois-de-rose-oil,b,,
boldo,https://www.webmd.com/vitamins/ai/ingredientmono-593/boldo,b,4.0,4
boneset,https://www.webmd.com/vitamins/ai/ingredientmono-594/boneset,b,5.0,4
borage,https://www.webmd.com/vitamins/ai/ingredientmono-596/borage,b,4.3,32
boron,https://www.webmd.com/vitamins/ai/ingredientmono-894/boron,b,4.4,37
boswellia serrata,https://www.webmd.com/vitamins/ai/ingredientmono-63/boswellia-serrata,b,4.3,39
bovine cartilage,https://www.webmd.com/vitamins/ai/ingredientmono-155/bovine-cartilage,b,4.3,2
bovine colostrum,https://www.webmd.com/vitamins/ai/ingredientmono-785/bovine-colostrum,b,4.4,21
boxwood,https://www.webmd.com/vitamins/ai/ingredientmono-319/boxwood,b,3.7,1
branched-chain amino acids (bcaa),https://www.webmd.com/vitamins/ai/ingredientmono-1005/branched-chain-amino-acids-bcaa,b,3.7,20
breadfruit,https://www.webmd.com/vitamins/ai/ingredientmono-1471/breadfruit,b,,
brewer's yeast,https://www.webmd.com/vitamins/ai/ingredientmono-715/brewers-yeast,b,4.5,16
brickellia,https://www.webmd.com/vitamins/ai/ingredientmono-1145/brickellia,b,,
bridelia,https://www.webmd.com/vitamins/ai/ingredientmono-1497/bridelia,b,,
broccoli,https://www.webmd.com/vitamins/ai/ingredientmono-1151/broccoli,b,4.4,4
broccoli sprout,https://www.webmd.com/vitamins/ai/ingredientmono-1459/broccoli-sprout,b,,
bromelain,https://www.webmd.com/vitamins/ai/ingredientmono-895/bromelain,b,4.3,54
brown rice,https://www.webmd.com/vitamins/ai/ingredientmono-1148/brown-rice,b,,
brussels sprout,https://www.webmd.com/vitamins/ai/ingredientmono-1477/brussels-sprout,b,,
bryonia,https://www.webmd.com/vitamins/ai/ingredientmono-46/bryonia,b,4.0,7
buchu,https://www.webmd.com/vitamins/ai/ingredientmono-180/buchu,b,4.5,2
buck's-horn plantain,https://www.webmd.com/vitamins/ai/ingredientmono-1457/bucks-horn-plantain,b,,
buckhorn plantain,https://www.webmd.com/vitamins/ai/ingredientmono-736/buckhorn-plantain,b,,
buckwheat,https://www.webmd.com/vitamins/ai/ingredientmono-15/buckwheat,b,3.6,5
bugle,https://www.webmd.com/vitamins/ai/ingredientmono-179/bugle,b,,
bugleweed,https://www.webmd.com/vitamins/ai/ingredientmono-147/bugleweed,b,4.4,9
bulbine natalensis,https://www.webmd.com/vitamins/ai/ingredientmono-1618/bulbine-natalensis,b,,
bulbous buttercup,https://www.webmd.com/vitamins/ai/ingredientmono-586/bulbous-buttercup,b,,
bupleurum,https://www.webmd.com/vitamins/ai/ingredientmono-650/bupleurum,b,5.0,3
burdock,https://www.webmd.com/vitamins/ai/ingredientmono-111/burdock,b,4.4,16
burning bush,https://www.webmd.com/vitamins/ai/ingredientmono-599/burning-bush,b,,
burr marigold,https://www.webmd.com/vitamins/ai/ingredientmono-20/burr-marigold,b,3.3,15
butcher's broom,https://www.webmd.com/vitamins/ai/ingredientmono-320/butchers-broom,b,4.2,26
butea superba,https://www.webmd.com/vitamins/ai/ingredientmono-1227/butea-superba,b,3.7,11
butterbur,https://www.webmd.com/vitamins/ai/ingredientmono-649/butterbur,b,4.5,74
buttercup,https://www.webmd.com/vitamins/ai/ingredientmono-656/buttercup,b,5.0,1
butternut,https://www.webmd.com/vitamins/ai/ingredientmono-739/butternut,b,,
butylated hydroxytoluene (bht),https://www.webmd.com/vitamins/ai/ingredientmono-1071/butylated-hydroxytoluene-bht,b,4.4,24
cabbage,https://www.webmd.com/vitamins/ai/ingredientmono-171/cabbage,c,4.1,5
cade,https://www.webmd.com/vitamins/ai/ingredientmono-77/cade,c,3.4,14
caffeic acid,https://www.webmd.com/vitamins/ai/ingredientmono-1266/caffeic-acid,c,3.3,1
caffeine,https://www.webmd.com/vitamins/ai/ingredientmono-979/caffeine,c,4.0,44
cajeput oil,https://www.webmd.com/vitamins/ai/ingredientmono-457/cajeput-oil,c,3.6,3
calabar bean,https://www.webmd.com/vitamins/ai/ingredientmono-50/calabar-bean,c,3.4,20
calabash chalk,https://www.webmd.com/vitamins/ai/ingredientmono-1640/calabash-chalk,c,,
calamint,https://www.webmd.com/vitamins/ai/ingredientmono-613/calamint,c,,
calamus,https://www.webmd.com/vitamins/ai/ingredientmono-778/calamus,c,4.2,3
calanus oil,https://www.webmd.com/vitamins/ai/ingredientmono-1544/calanus-oil,c,,
calcium,https://www.webmd.com/vitamins/ai/ingredientmono-781/calcium,c,3.5,35
calcium d-glucarate,https://www.webmd.com/vitamins/ai/ingredientmono-136/calcium-d-glucarate,c,4.5,6
calea zacatechichi,https://www.webmd.com/vitamins/ai/ingredientmono-1270/calea-zacatechichi,c,5.0,2
calendula,https://www.webmd.com/vitamins/ai/ingredientmono-235/calendula,c,4.5,15
california poppy,https://www.webmd.com/vitamins/ai/ingredientmono-104/california-poppy,c,3.9,34
calotropis,https://www.webmd.com/vitamins/ai/ingredientmono-797/calotropis,c,3.6,3
calumba,https://www.webmd.com/vitamins/ai/ingredientmono-410/calumba,c,,
camphor,https://www.webmd.com/vitamins/ai/ingredientmono-709/camphor,c,3.7,24
camu camu,https://www.webmd.com/vitamins/ai/ingredientmono-1243/camu-camu,c,4.3,6
canada balsam,https://www.webmd.com/vitamins/ai/ingredientmono-456/canada-balsam,c,1.0,1
canadian fleabane,https://www.webmd.com/vitamins/ai/ingredientmono-242/canadian-fleabane,c,,
canadian hemp,https://www.webmd.com/vitamins/ai/ingredientmono-201/canadian-hemp,c,3.0,2
canaigre,https://www.webmd.com/vitamins/ai/ingredientmono-222/canaigre,c,,
cananga oil,https://www.webmd.com/vitamins/ai/ingredientmono-83/cananga-oil,c,3.3,18
candlenut,https://www.webmd.com/vitamins/ai/ingredientmono-353/candlenut,c,5.0,1
cannabichromene (cbc),https://www.webmd.com/vitamins/ai/ingredientmono-1609/cannabichromene-cbc,c,,
cannabidiol (cbd),https://www.webmd.com/vitamins/ai/ingredientmono-1439/cannabidiol-cbd,c,4.0,102
cannabidivarin (cbdv),https://www.webmd.com/vitamins/ai/ingredientmono-1601/cannabidivarin-cbdv,c,4.3,1
cannabigerol (cbg),https://www.webmd.com/vitamins/ai/ingredientmono-1602/cannabigerol-cbg,c,4.3,1
cannabinol (cbn),https://www.webmd.com/vitamins/ai/ingredientmono-1611/cannabinol-cbn,c,4.3,1
cannabis,https://www.webmd.com/vitamins/ai/ingredientmono-947/cannabis,c,4.3,103
canola  oil,https://www.webmd.com/vitamins/ai/ingredientmono-1563/canola-oil,c,,
canthaxanthin,https://www.webmd.com/vitamins/ai/ingredientmono-846/canthaxanthin,c,4.3,4
capers,https://www.webmd.com/vitamins/ai/ingredientmono-727/capers,c,,
caprylic acid,https://www.webmd.com/vitamins/ai/ingredientmono-1465/caprylic-acid,c,5.0,2
capsicum,https://www.webmd.com/vitamins/ai/ingredientmono-945/capsicum,c,4.2,33
caralluma,https://www.webmd.com/vitamins/ai/ingredientmono-1160/caralluma,c,2.7,77
caraway,https://www.webmd.com/vitamins/ai/ingredientmono-204/caraway,c,4.7,5
carbon 60 (c60),https://www.webmd.com/vitamins/ai/ingredientmono-1625/carbon-60-c60,c,4.7,21
cardamom,https://www.webmd.com/vitamins/ai/ingredientmono-614/cardamom,c,4.7,3
cardarine - [fast facts],https://www.webmd.com/vitamins/ai/ingredientmono-1648/cardarine-%5bfast-facts%5d,c,,
carlina,https://www.webmd.com/vitamins/ai/ingredientmono-100/carlina,c,3.3,12
carnosine,https://www.webmd.com/vitamins/ai/ingredientmono-1038/carnosine,c,4.3,6
carob,https://www.webmd.com/vitamins/ai/ingredientmono-321/carob,c,3.5,4
carqueja,https://www.webmd.com/vitamins/ai/ingredientmono-1127/carqueja,c,4.6,4
carrageenan,https://www.webmd.com/vitamins/ai/ingredientmono-710/carrageenan,c,1.4,15
carrot,https://www.webmd.com/vitamins/ai/ingredientmono-1472/carrot,c,5.0,2
cascara sagrada,https://www.webmd.com/vitamins/ai/ingredientmono-773/cascara-sagrada,c,4.8,31
